Stadt,Zeitpunkt,Temperatur,Luftfeuchtigkeit,Wind
Berlin,2025-08-28 00:00:00,19.0,86,1.9
Berlin,2025-08-28 01:00:00,19.3,85,4.4
Berlin,2025-08-28 02:00:00,19.0,89,5.6
Berlin,2025-08-28 03:00:00,18.4,94,6.5
Berlin,2025-08-28 04:00:00,18.1,94,5.7
Berlin,2025-08-28 05:00:00,18.1,93,5.4
Berlin,2025-08-28 06:00:00,18.6,89,5.1
Berlin,2025-08-28 07:00:00,19.5,84,6.6
Berlin,2025-08-28 08:00:00,20.3,81,3.8
Berlin,2025-08-28 09:00:00,20.7,80,1.8
Berlin,2025-08-28 10:00:00,20.9,83,6.4
Berlin,2025-08-28 11:00:00,20.2,90,8.2
Berlin,2025-08-28 12:00:00,20.4,89,7.9
Berlin,2025-08-28 13:00:00,21.3,84,4.5
Berlin,2025-08-28 14:00:00,22.0,78,4.6
Berlin,2025-08-28 15:00:00,21.2,80,4.7
Berlin,2025-08-28 16:00:00,20.6,84,5.8
Berlin,2025-08-28 17:00:00,20.2,87,4.1
Berlin,2025-08-28 18:00:00,20.0,87,5.9
Berlin,2025-08-28 19:00:00,19.6,91,4.8
Berlin,2025-08-28 20:00:00,19.3,93,5.5
Berlin,2025-08-28 21:00:00,19.2,94,6.3
Berlin,2025-08-28 22:00:00,18.9,95,6.1
Berlin,2025-08-28 23:00:00,18.6,96,5.9
Berlin,2025-08-29 00:00:00,18.4,96,6.8
Berlin,2025-08-29 01:00:00,18.3,96,4.7
Berlin,2025-08-29 02:00:00,18.1,97,5.8
Berlin,2025-08-29 03:00:00,18.0,97,3.7
Berlin,2025-08-29 04:00:00,17.8,98,4.2
Berlin,2025-08-29 05:00:00,17.7,98,3.3
Berlin,2025-08-29 06:00:00,17.9,96,3.1
Berlin,2025-08-29 07:00:00,18.5,92,2.7
Berlin,2025-08-29 08:00:00,19.0,87,4.1
Berlin,2025-08-29 09:00:00,19.5,82,4.3
Berlin,2025-08-29 10:00:00,19.8,81,5.4
Berlin,2025-08-29 11:00:00,20.1,80,6.6
Berlin,2025-08-29 12:00:00,20.2,79,5.8
Berlin,2025-08-29 13:00:00,20.8,75,6.5
Berlin,2025-08-29 14:00:00,21.6,71,6.0
Berlin,2025-08-29 15:00:00,21.4,73,4.7
Berlin,2025-08-29 16:00:00,21.3,73,2.6
Berlin,2025-08-29 17:00:00,21.7,66,4.3
Berlin,2025-08-29 18:00:00,21.0,75,6.5
Berlin,2025-08-29 19:00:00,20.3,79,4.7
Berlin,2025-08-29 20:00:00,19.5,85,3.3
Berlin,2025-08-29 21:00:00,19.0,88,4.9
Berlin,2025-08-29 22:00:00,18.5,91,5.0
Berlin,2025-08-29 23:00:00,18.1,91,6.2
Berlin,2025-08-30 00:00:00,17.7,93,4.8
Berlin,2025-08-30 01:00:00,17.3,93,4.1
Berlin,2025-08-30 02:00:00,16.9,94,4.2
Berlin,2025-08-30 03:00:00,16.4,94,4.5
Berlin,2025-08-30 04:00:00,16.1,93,5.8
Berlin,2025-08-30 05:00:00,15.8,92,4.3
Berlin,2025-08-30 06:00:00,16.4,85,6.3
Berlin,2025-08-30 07:00:00,17.9,75,8.2
Berlin,2025-08-30 08:00:00,19.0,69,8.3
Berlin,2025-08-30 09:00:00,19.2,69,10.3
Berlin,2025-08-30 10:00:00,19.8,68,8.6
Berlin,2025-08-30 11:00:00,21.0,62,11.8
Berlin,2025-08-30 12:00:00,21.6,59,12.4
Berlin,2025-08-30 13:00:00,22.4,54,10.7
Berlin,2025-08-30 14:00:00,23.0,52,12.1
Berlin,2025-08-30 15:00:00,23.0,50,11.8
Berlin,2025-08-30 16:00:00,22.9,47,8.6
Berlin,2025-08-30 17:00:00,22.6,51,7.1
Berlin,2025-08-30 18:00:00,22.0,55,4.6
Berlin,2025-08-30 19:00:00,18.5,79,4.0
Berlin,2025-08-30 20:00:00,17.5,84,4.0
Berlin,2025-08-30 21:00:00,16.8,85,4.7
Berlin,2025-08-30 22:00:00,16.3,85,4.3
Berlin,2025-08-30 23:00:00,15.6,87,4.3
Berlin,2025-08-31 00:00:00,15.0,87,4.3
Berlin,2025-08-31 01:00:00,14.6,86,4.7
Berlin,2025-08-31 02:00:00,14.2,86,4.7
Berlin,2025-08-31 03:00:00,13.8,86,4.7
Berlin,2025-08-31 04:00:00,13.6,87,4.7
Berlin,2025-08-31 05:00:00,13.6,87,5.1
Berlin,2025-08-31 06:00:00,14.7,83,5.8
Berlin,2025-08-31 07:00:00,16.8,75,7.2
Berlin,2025-08-31 08:00:00,19.0,67,8.7
Berlin,2025-08-31 09:00:00,20.7,63,9.1
Berlin,2025-08-31 10:00:00,22.2,59,10.2
Berlin,2025-08-31 11:00:00,22.9,56,10.2
Berlin,2025-08-31 12:00:00,23.7,54,10.6
Berlin,2025-08-31 13:00:00,24.1,51,10.7
Berlin,2025-08-31 14:00:00,24.3,50,10.9
Berlin,2025-08-31 15:00:00,23.8,52,9.3
Berlin,2025-08-31 16:00:00,23.2,55,6.9
Berlin,2025-08-31 17:00:00,22.2,64,4.5
Berlin,2025-08-31 18:00:00,21.3,69,4.4
Berlin,2025-08-31 19:00:00,20.7,72,4.3
Berlin,2025-08-31 20:00:00,20.2,74,4.3
Berlin,2025-08-31 21:00:00,19.7,75,4.3
Berlin,2025-08-31 22:00:00,19.2,76,4.3
Berlin,2025-08-31 23:00:00,18.8,76,4.4
Berlin,2025-09-01 00:00:00,18.4,76,4.7
Berlin,2025-09-01 01:00:00,17.9,77,5.2
Berlin,2025-09-01 02:00:00,17.3,78,5.9
Berlin,2025-09-01 03:00:00,16.9,78,6.4
Berlin,2025-09-01 04:00:00,16.7,78,6.8
Berlin,2025-09-01 05:00:00,16.6,77,7.2
Berlin,2025-09-01 06:00:00,17.1,75,7.6
Berlin,2025-09-01 07:00:00,18.5,70,7.9
Berlin,2025-09-01 08:00:00,20.5,64,8.7
Berlin,2025-09-01 09:00:00,22.3,58,9.2
Berlin,2025-09-01 10:00:00,23.7,54,9.4
Berlin,2025-09-01 11:00:00,25.0,52,9.6
Berlin,2025-09-01 12:00:00,25.8,50,9.0
Berlin,2025-09-01 13:00:00,26.2,50,7.4
Berlin,2025-09-01 14:00:00,26.1,50,6.3
Berlin,2025-09-01 15:00:00,25.7,53,5.9
Berlin,2025-09-01 16:00:00,24.5,58,5.9
Berlin,2025-09-01 17:00:00,22.9,66,7.9
Berlin,2025-09-01 18:00:00,21.4,73,9.7
Berlin,2025-09-01 19:00:00,20.3,80,10.3
Berlin,2025-09-01 20:00:00,19.3,87,10.2
Berlin,2025-09-01 21:00:00,18.5,92,9.4
Berlin,2025-09-01 22:00:00,18.0,94,7.8
Berlin,2025-09-01 23:00:00,17.7,93,6.0
Berlin,2025-09-02 00:00:00,17.5,93,5.4
Berlin,2025-09-02 01:00:00,17.2,94,5.1
Berlin,2025-09-02 02:00:00,16.9,95,5.1
Berlin,2025-09-02 03:00:00,16.8,95,5.1
Berlin,2025-09-02 04:00:00,16.6,96,5.1
Berlin,2025-09-02 05:00:00,16.6,96,5.4
Berlin,2025-09-02 06:00:00,16.8,94,5.4
Berlin,2025-09-02 07:00:00,17.5,89,5.4
Berlin,2025-09-02 08:00:00,18.4,82,5.8
Berlin,2025-09-02 09:00:00,19.3,76,6.3
Berlin,2025-09-02 10:00:00,19.9,72,5.7
Berlin,2025-09-02 11:00:00,20.4,68,4.9
Berlin,2025-09-02 12:00:00,20.7,66,4.1
Berlin,2025-09-02 13:00:00,20.3,70,3.5
Berlin,2025-09-02 14:00:00,19.2,79,3.7
Berlin,2025-09-02 15:00:00,18.4,87,4.0
Berlin,2025-09-02 16:00:00,18.0,91,3.6
Berlin,2025-09-02 17:00:00,17.8,93,2.9
Berlin,2025-09-02 18:00:00,17.6,95,2.5
Berlin,2025-09-02 19:00:00,17.4,96,2.9
Berlin,2025-09-02 20:00:00,17.1,95,3.6
Berlin,2025-09-02 21:00:00,16.8,95,4.0
Berlin,2025-09-02 22:00:00,16.6,95,3.9
Berlin,2025-09-02 23:00:00,16.5,96,3.7
Berlin,2025-09-03 00:00:00,16.2,96,3.6
Berlin,2025-09-03 01:00:00,15.9,96,3.7
Berlin,2025-09-03 02:00:00,15.4,95,3.9
